section_code,week,ever_ccc,post,total,confirmed
15,2015-01-11T00:00:00Z,0,1,0,0
15,2015-01-18T00:00:00Z,0,1,0,0
15,2015-01-25T00:00:00Z,0,1,0,0
15,2015-02-01T00:00:00Z,0,1,0,0
15,2015-02-08T00:00:00Z,0,1,0,0
15,2015-02-15T00:00:00Z,0,1,1,0
15,2015-02-22T00:00:00Z,0,1,1,0
15,2015-03-01T00:00:00Z,0,1,0,0
15,2015-03-08T00:00:00Z,0,1,0,0
15,2015-03-15T00:00:00Z,0,1,0,0
15,2015-03-22T00:00:00Z,0,1,0,0
15,2015-03-29T00:00:00Z,0,1,0,0
15,2015-04-05T00:00:00Z,0,1,0,0
15,2015-04-12T00:00:00Z,0,1,0,0
15,2015-04-19T00:00:00Z,0,1,0,0
15,2015-04-26T00:00:00Z,0,1,0,0
16,2014-08-10T00:00:00Z,0,0,0,0
16,2014-08-17T00:00:00Z,0,0,0,0
16,2014-08-24T00:00:00Z,0,0,0,0
16,2014-08-31T00:00:00Z,0,0,0,0
16,2014-09-07T00:00:00Z,0,0,0,0
16,2014-09-14T00:00:00Z,0,0,0,0
16,2014-09-21T00:00:00Z,0,0,0,0
16,2014-09-28T00:00:00Z,0,0,0,0
16,2014-10-05T00:00:00Z,0,0,0,0
16,2014-10-12T00:00:00Z,0,0,0,0
16,2014-10-19T00:00:00Z,0,1,0,0
16,2014-10-26T00:00:00Z,0,1,0,0
16,2014-11-02T00:00:00Z,0,1,0,0
16,2014-11-09T00:00:00Z,0,1,0,0
16,2014-11-16T00:00:00Z,0,1,0,0
16,2014-11-23T00:00:00Z,0,1,0,0
16,2014-11-30T00:00:00Z,0,1,0,0
16,2014-12-07T00:00:00Z,0,1,0,0
16,2014-12-14T00:00:00Z,0,1,0,0
16,2014-12-21T00:00:00Z,0,1,0,0
16,2014-12-28T00:00:00Z,0,1,0,0
16,2015-01-04T00:00:00Z,0,1,0,0
16,2015-01-11T00:00:00Z,0,1,0,0
16,2015-01-18T00:00:00Z,0,1,0,0
16,2015-01-25T00:00:00Z,0,1,0,0
16,2015-02-01T00:00:00Z,0,1,1,0
16,2015-02-08T00:00:00Z,0,1,0,0
16,2015-02-15T00:00:00Z,0,1,1,0
16,2015-02-22T00:00:00Z,0,1,0,0
16,2015-03-01T00:00:00Z,0,1,1,0
16,2015-03-08T00:00:00Z,0,1,0,0
16,2015-03-15T00:00:00Z,0,1,1,0
16,2015-03-22T00:00:00Z,0,1,0,0
16,2015-03-29T00:00:00Z,0,1,0,0
16,2015-04-05T00:00:00Z,0,1,0,0
16,2015-04-12T00:00:00Z,0,1,0,0
16,2015-04-19T00:00:00Z,0,1,2,0
16,2015-04-26T00:00:00Z,0,1,0,0
17,2014-08-10T00:00:00Z,0,0,0,0
17,2014-08-17T00:00:00Z,0,0,0,0
17,2014-08-24T00:00:00Z,0,0,0,0
17,2014-08-31T00:00:00Z,0,0,0,0
17,2014-09-07T00:00:00Z,0,0,0,0
17,2014-09-14T00:00:00Z,0,0,0,0
17,2014-09-21T00:00:00Z,0,0,0,0
17,2014-09-28T00:00:00Z,0,0,0,0
17,2014-10-05T00:00:00Z,0,0,0,0
17,2014-10-12T00:00:00Z,0,0,0,0
17,2014-10-19T00:00:00Z,0,1,0,0
17,2014-10-26T00:00:00Z,0,1,0,0
17,2014-11-02T00:00:00Z,0,1,0,0
17,2014-11-09T00:00:00Z,0,1,0,0
17,2014-11-16T00:00:00Z,0,1,0,0
17,2014-11-23T00:00:00Z,0,1,0,0
17,2014-11-30T00:00:00Z,0,1,0,0
17,2014-12-07T00:00:00Z,0,1,0,0
17,2014-12-14T00:00:00Z,0,1,0,0
17,2014-12-21T00:00:00Z,0,1,0,0
17,2014-12-28T00:00:00Z,0,1,0,0
17,2015-01-04T00:00:00Z,0,1,0,0
17,2015-01-11T00:00:00Z,0,1,0,0
17,2015-01-18T00:00:00Z,0,1,0,0
17,2015-01-25T00:00:00Z,0,1,0,0
17,2015-02-01T00:00:00Z,0,1,0,0
17,2015-02-08T00:00:00Z,0,1,0,0
17,2015-02-15T00:00:00Z,0,1,1,0
17,2015-02-22T00:00:00Z,0,1,0,0
17,2015-03-01T00:00:00Z,0,1,1,0
17,2015-03-08T00:00:00Z,0,1,1,0
17,2015-03-15T00:00:00Z,0,1,0,0
17,2015-03-22T00:00:00Z,0,1,0,0
17,2015-03-29T00:00:00Z,0,1,0,0
17,2015-04-05T00:00:00Z,0,1,1,0
17,2015-04-12T00:00:00Z,0,1,1,0
17,2015-04-19T00:00:00Z,0,1,0,0
17,2015-04-26T00:00:00Z,0,1,1,0
18,2014-08-10T00:00:00Z,0,0,0,0
18,2014-08-17T00:00:00Z,0,0,0,0
18,2014-08-24T00:00:00Z,0,0,0,0
18,2014-08-31T00:00:00Z,0,0,0,0
18,2014-09-07T00:00:00Z,0,0,0,0
18,2014-09-14T00:00:00Z,0,0,0,0
18,2014-09-21T00:00:00Z,0,0,0,0
18,2014-09-28T00:00:00Z,0,0,0,0
18,2014-10-05T00:00:00Z,0,0,0,0
18,2014-10-12T00:00:00Z,0,0,0,0
18,2014-10-19T00:00:00Z,0,1,0,0
18,2014-10-26T00:00:00Z,0,1,1,0
18,2014-11-02T00:00:00Z,0,1,0,0
18,2014-11-09T00:00:00Z,0,1,0,0
18,2014-11-16T00:00:00Z,0,1,0,0
18,2014-11-23T00:00:00Z,0,1,0,0
18,2014-11-30T00:00:00Z,0,1,1,0
18,2014-12-07T00:00:00Z,0,1,2,0
18,2014-12-14T00:00:00Z,0,1,0,0
18,2014-12-21T00:00:00Z,0,1,0,0
18,2014-12-28T00:00:00Z,0,1,1,0
18,2015-01-04T00:00:00Z,0,1,4,0
18,2015-01-11T00:00:00Z,0,1,0,0
18,2015-01-18T00:00:00Z,0,1,0,0
18,2015-01-25T00:00:00Z,0,1,1,0
18,2015-02-01T00:00:00Z,0,1,0,0
18,2015-02-08T00:00:00Z,0,1,0,0
18,2015-02-15T00:00:00Z,0,1,0,0
18,2015-02-22T00:00:00Z,0,1,1,0
18,2015-03-01T00:00:00Z,0,1,0,0
18,2015-03-08T00:00:00Z,0,1,0,0
18,2015-03-15T00:00:00Z,0,1,0,0
18,2015-03-22T00:00:00Z,0,1,0,0
18,2015-03-29T00:00:00Z,0,1,0,0
18,2015-04-05T00:00:00Z,0,1,0,0
18,2015-04-12T00:00:00Z,0,1,0,0
18,2015-04-19T00:00:00Z,0,1,0,0
18,2015-04-26T00:00:00Z,0,1,0,0
19,2014-08-10T00:00:00Z,0,0,0,0
19,2014-08-17T00:00:00Z,0,0,0,0
19,2014-08-24T00:00:00Z,0,0,0,0
19,2014-08-31T00:00:00Z,0,0,0,0
19,2014-09-07T00:00:00Z,0,0,0,0
19,2014-09-14T00:00:00Z,0,0,0,0
19,2014-09-21T00:00:00Z,0,0,0,0
19,2014-09-28T00:00:00Z,0,0,0,0
19,2014-10-05T00:00:00Z,0,0,0,0
19,2014-10-12T00:00:00Z,0,0,0,0
19,2014-10-19T00:00:00Z,0,1,0,0
19,2014-10-26T00:00:00Z,0,1,0,0
19,2014-11-02T00:00:00Z,0,1,0,0
19,2014-11-09T00:00:00Z,0,1,0,0
19,2014-11-16T00:00:00Z,0,1,0,0
19,2014-11-23T00:00:00Z,0,1,0,0
19,2014-11-30T00:00:00Z,0,1,0,0
19,2014-12-07T00:00:00Z,0,1,1,0
19,2014-12-14T00:00:00Z,0,1,3,0
19,2014-12-21T00:00:00Z,0,1,0,0
19,2014-12-28T00:00:00Z,0,1,1,0
19,2015-01-04T00:00:00Z,0,1,0,0
19,2015-01-11T00:00:00Z,0,1,2,0
19,2015-01-18T00:00:00Z,0,1,0,0
19,2015-01-25T00:00:00Z,0,1,0,0
19,2015-02-01T00:00:00Z,0,1,0,0
19,2015-02-08T00:00:00Z,0,1,1,0
19,2015-02-15T00:00:00Z,0,1,0,0
19,2015-02-22T00:00:00Z,0,1,0,0
19,2015-03-01T00:00:00Z,0,1,0,0
19,2015-03-08T00:00:00Z,0,1,0,0
19,2015-03-15T00:00:00Z,0,1,0,0
19,2015-03-22T00:00:00Z,0,1,0,0
19,2015-03-29T00:00:00Z,0,1,0,0
19,2015-04-05T00:00:00Z,0,1,0,0
19,2015-04-12T00:00:00Z,0,1,0,0
19,2015-04-19T00:00:00Z,0,1,0,0
19,2015-04-26T00:00:00Z,0,1,0,0
20,2014-08-10T00:00:00Z,0,0,0,0
20,2014-08-17T00:00:00Z,0,0,0,0
20,2014-08-24T00:00:00Z,0,0,0,0
20,2014-08-31T00:00:00Z,0,0,0,0
20,2014-09-07T00:00:00Z,0,0,0,0
20,2014-09-14T00:00:00Z,0,0,0,0
20,2014-09-21T00:00:00Z,0,0,0,0
20,2014-09-28T00:00:00Z,0,0,0,0
20,2014-10-05T00:00:00Z,0,0,0,0
20,2014-10-12T00:00:00Z,0,0,0,0
20,2014-10-19T00:00:00Z,0,1,0,0
20,2014-10-26T00:00:00Z,0,1,0,0
20,2014-11-02T00:00:00Z,0,1,0,0
20,2014-11-09T00:00:00Z,0,1,0,0
20,2014-11-16T00:00:00Z,0,1,0,0
20,2014-11-23T00:00:00Z,0,1,0,0
20,2014-11-30T00:00:00Z,0,1,1,0
20,2014-12-07T00:00:00Z,0,1,1,0
20,2014-12-14T00:00:00Z,0,1,0,0
20,2014-12-21T00:00:00Z,0,1,0,0
20,2014-12-28T00:00:00Z,0,1,0,0
20,2015-01-04T00:00:00Z,0,1,0,0
20,2015-01-11T00:00:00Z,0,1,0,0
20,2015-01-18T00:00:00Z,0,1,0,0
20,2015-01-25T00:00:00Z,0,1,0,0
20,2015-02-01T00:00:00Z,0,1,0,0
20,2015-02-08T00:00:00Z,0,1,0,0
20,2015-02-15T00:00:00Z,0,1,1,0
20,2015-02-22T00:00:00Z,0,1,0,0
20,2015-03-01T00:00:00Z,0,1,0,0
20,2015-03-08T00:00:00Z,0,1,0,0
20,2015-03-15T00:00:00Z,0,1,3,0
20,2015-03-22T00:00:00Z,0,1,0,0
20,2015-03-29T00:00:00Z,0,1,0,0
20,2015-04-05T00:00:00Z,0,1,0,0
20,2015-04-12T00:00:00Z,0,1,0,0
20,2015-04-19T00:00:00Z,0,1,0,0
20,2015-04-26T00:00:00Z,0,1,0,0
21,2014-08-10T00:00:00Z,0,0,0,0
21,2014-08-17T00:00:00Z,0,0,0,0
21,2014-08-24T00:00:00Z,0,0,0,0
21,2014-08-31T00:00:00Z,0,0,0,0
21,2014-09-07T00:00:00Z,0,0,0,0
21,2014-09-14T00:00:00Z,0,0,0,0
21,2014-09-21T00:00:00Z,0,0,0,0
21,2014-09-28T00:00:00Z,0,0,0,0
21,2014-10-05T00:00:00Z,0,0,0,0
21,2014-10-12T00:00:00Z,0,0,0,0
21,2014-10-19T00:00:00Z,0,1,0,0
21,2014-10-26T00:00:00Z,0,1,0,0
21,2014-11-02T00:00:00Z,0,1,1,0
21,2014-11-09T00:00:00Z,0,1,0,0
21,2014-11-16T00:00:00Z,0,1,0,0
21,2014-11-23T00:00:00Z,0,1,0,0
21,2014-11-30T00:00:00Z,0,1,0,0
21,2014-12-07T00:00:00Z,0,1,0,0
21,2014-12-14T00:00:00Z,0,1,0,0
21,2014-12-21T00:00:00Z,0,1,0,0
21,2014-12-28T00:00:00Z,0,1,0,0
21,2015-01-04T00:00:00Z,0,1,0,0
21,2015-01-11T00:00:00Z,0,1,1,0
21,2015-01-18T00:00:00Z,0,1,0,0
21,2015-01-25T00:00:00Z,0,1,0,0
21,2015-02-01T00:00:00Z,0,1,0,0
21,2015-02-08T00:00:00Z,0,1,0,0
21,2015-02-15T00:00:00Z,0,1,0,0
21,2015-02-22T00:00:00Z,0,1,0,0
21,2015-03-01T00:00:00Z,0,1,0,0
21,2015-03-08T00:00:00Z,0,1,0,0
21,2015-03-15T00:00:00Z,0,1,0,0
21,2015-03-22T00:00:00Z,0,1,0,0
21,2015-03-29T00:00:00Z,0,1,0,0
21,2015-04-05T00:00:00Z,0,1,0,0
21,2015-04-12T00:00:00Z,0,1,0,0
21,2015-04-19T00:00:00Z,0,1,0,0
21,2015-04-26T00:00:00Z,0,1,0,0
22,2014-08-10T00:00:00Z,0,0,0,0
22,2014-08-17T00:00:00Z,0,0,0,0
22,2014-08-24T00:00:00Z,0,0,0,0
22,2014-08-31T00:00:00Z,0,0,0,0
22,2014-09-07T00:00:00Z,0,0,0,0
22,2014-09-14T00:00:00Z,0,0,0,0
22,2014-09-21T00:00:00Z,0,0,0,0
22,2014-09-28T00:00:00Z,0,0,0,0
22,2014-10-05T00:00:00Z,0,0,0,0
22,2014-10-12T00:00:00Z,0,0,0,0
22,2014-10-19T00:00:00Z,0,1,0,0
22,2014-10-26T00:00:00Z,0,1,0,0
22,2014-11-02T00:00:00Z,0,1,0,0
22,2014-11-09T00:00:00Z,0,1,0,0
22,2014-11-16T00:00:00Z,0,1,0,0
22,2014-11-23T00:00:00Z,0,1,0,0
22,2014-11-30T00:00:00Z,0,1,0,0
22,2014-12-07T00:00:00Z,0,1,0,0
22,2014-12-14T00:00:00Z,0,1,1,0
22,2014-12-21T00:00:00Z,0,1,0,0
22,2014-12-28T00:00:00Z,0,1,0,0
22,2015-01-04T00:00:00Z,0,1,0,0
22,2015-01-11T00:00:00Z,0,1,0,0
22,2015-01-18T00:00:00Z,0,1,0,0
22,2015-01-25T00:00:00Z,0,1,0,0
22,2015-02-01T00:00:00Z,0,1,0,0
22,2015-02-08T00:00:00Z,0,1,0,0
22,2015-02-15T00:00:00Z,0,1,0,0
22,2015-02-22T00:00:00Z,0,1,1,0
22,2015-03-01T00:00:00Z,0,1,0,0
22,2015-03-08T00:00:00Z,0,1,0,0
22,2015-03-15T00:00:00Z,0,1,1,0
22,2015-03-22T00:00:00Z,0,1,1,0
22,2015-03-29T00:00:00Z,0,1,0,0
22,2015-04-05T00:00:00Z,0,1,0,0
22,2015-04-12T00:00:00Z,0,1,0,0
22,2015-04-19T00:00:00Z,0,1,0,0
22,2015-04-26T00:00:00Z,0,1,0,0
23,2014-08-10T00:00:00Z,0,0,0,0
23,2014-08-17T00:00:00Z,0,0,0,0
23,2014-08-24T00:00:00Z,0,0,0,0
23,2014-08-31T00:00:00Z,0,0,0,0
23,2014-09-07T00:00:00Z,0,0,0,0
23,2014-09-14T00:00:00Z,0,0,0,0
23,2014-09-21T00:00:00Z,0,0,0,0
23,2014-09-28T00:00:00Z,0,0,0,0
23,2014-10-05T00:00:00Z,0,0,0,0
23,2014-10-12T00:00:00Z,0,0,0,0
23,2014-10-19T00:00:00Z,0,1,0,0
23,2014-10-26T00:00:00Z,0,1,0,0
23,2014-11-02T00:00:00Z,0,1,0,0
23,2014-11-09T00:00:00Z,0,1,0,0
23,2014-11-16T00:00:00Z,0,1,0,0
23,2014-11-23T00:00:00Z,0,1,1,0
23,2014-11-30T00:00:00Z,0,1,0,0
23,2014-12-07T00:00:00Z,0,1,1,0
23,2014-12-14T00:00:00Z,0,1,0,0
23,2014-12-21T00:00:00Z,0,1,0,0
23,2014-12-28T00:00:00Z,0,1,0,0
23,2015-01-04T00:00:00Z,0,1,0,0
23,2015-01-11T00:00:00Z,0,1,0,0
23,2015-01-18T00:00:00Z,0,1,0,0
23,2015-01-25T00:00:00Z,0,1,1,0
23,2015-02-01T00:00:00Z,0,1,0,0
23,2015-02-08T00:00:00Z,0,1,1,0
23,2015-02-15T00:00:00Z,0,1,0,0
23,2015-02-22T00:00:00Z,0,1,0,0
23,2015-03-01T00:00:00Z,0,1,0,0
23,2015-03-08T00:00:00Z,0,1,0,0
23,2015-03-15T00:00:00Z,0,1,0,0
23,2015-03-22T00:00:00Z,0,1,0,0
23,2015-03-29T00:00:00Z,0,1,0,0
23,2015-04-05T00:00:00Z,0,1,0,0
23,2015-04-12T00:00:00Z,0,1,0,0
23,2015-04-19T00:00:00Z,0,1,1,0
23,2015-04-26T00:00:00Z,0,1,0,0
24,2014-08-10T00:00:00Z,0,0,0,0
24,2014-08-17T00:00:00Z,0,0,0,0
24,2014-08-24T00:00:00Z,0,0,0,0
24,2014-08-31T00:00:00Z,0,0,0,0
24,2014-09-07T00:00:00Z,0,0,0,0
24,2014-09-14T00:00:00Z,0,0,0,0
24,2014-09-21T00:00:00Z,0,0,0,0
24,2014-09-28T00:00:00Z,0,0,0,0
24,2014-10-05T00:00:00Z,0,0,0,0
24,2014-10-12T00:00:00Z,0,0,0,0
24,2014-10-19T00:00:00Z,0,1,0,0
24,2014-10-26T00:00:00Z,0,1,0,0
24,2014-11-02T00:00:00Z,0,1,0,0
24,2014-11-09T00:00:00Z,0,1,0,0
24,2014-11-16T00:00:00Z,0,1,0,0
24,2014-11-23T00:00:00Z,0,1,0,0
24,2014-11-30T00:00:00Z,0,1,0,0
24,2014-12-07T00:00:00Z,0,1,0,0
24,2014-12-14T00:00:00Z,0,1,0,0
24,2014-12-21T00:00:00Z,0,1,0,0
24,2014-12-28T00:00:00Z,0,1,0,0
24,2015-01-04T00:00:00Z,0,1,1,0
24,2015-01-11T00:00:00Z,0,1,1,0
24,2015-01-18T00:00:00Z,0,1,0,0
24,2015-01-25T00:00:00Z,0,1,1,0
24,2015-02-01T00:00:00Z,0,1,0,0
24,2015-02-08T00:00:00Z,0,1,0,0
24,2015-02-15T00:00:00Z,0,1,0,0
24,2015-02-22T00:00:00Z,0,1,0,0
24,2015-03-01T00:00:00Z,0,1,0,0
24,2015-03-08T00:00:00Z,0,1,0,0
24,2015-03-15T00:00:00Z,0,1,0,0
24,2015-03-22T00:00:00Z,0,1,0,0
24,2015-03-29T00:00:00Z,0,1,0,0
24,2015-04-05T00:00:00Z,0,1,0,0
24,2015-04-12T00:00:00Z,0,1,0,0
24,2015-04-19T00:00:00Z,0,1,0,0
24,2015-04-26T00:00:00Z,0,1,0,0
25,2014-08-10T00:00:00Z,0,0,0,0
25,2014-08-17T00:00:00Z,0,0,0,0
25,2014-08-24T00:00:00Z,0,0,0,0
25,2014-08-31T00:00:00Z,0,0,0,0
25,2014-09-07T00:00:00Z,0,0,0,0
25,2014-09-14T00:00:00Z,0,0,0,0
25,2014-09-21T00:00:00Z,0,0,0,0
25,2014-09-28T00:00:00Z,0,0,0,0
25,2014-10-05T00:00:00Z,0,0,0,0
25,2014-10-12T00:00:00Z,0,0,0,0
25,2014-10-19T00:00:00Z,0,1,0,0
25,2014-10-26T00:00:00Z,0,1,0,0
25,2014-11-02T00:00:00Z,0,1,0,0
25,2014-11-09T00:00:00Z,0,1,0,0
25,2014-11-16T00:00:00Z,0,1,0,0
25,2014-11-23T00:00:00Z,0,1,0,0
25,2014-11-30T00:00:00Z,0,1,0,0
25,2014-12-07T00:00:00Z,0,1,0,0
25,2014-12-14T00:00:00Z,0,1,0,0
25,2014-12-21T00:00:00Z,0,1,0,0
25,2014-12-28T00:00:00Z,0,1,0,0
25,2015-01-04T00:00:00Z,0,1,1,0
25,2015-01-11T00:00:00Z,0,1,1,0
25,2015-01-18T00:00:00Z,0,1,0,0
25,2015-01-25T00:00:00Z,0,1,0,0
25,2015-02-01T00:00:00Z,0,1,0,0
25,2015-02-08T00:00:00Z,0,1,0,0
25,2015-02-15T00:00:00Z,0,1,0,0
25,2015-02-22T00:00:00Z,0,1,0,0
25,2015-03-01T00:00:00Z,0,1,0,0
25,2015-03-08T00:00:00Z,0,1,0,0
25,2015-03-15T00:00:00Z,0,1,0,0
25,2015-03-22T00:00:00Z,0,1,1,0
25,2015-03-29T00:00:00Z,0,1,0,0
25,2015-04-05T00:00:00Z,0,1,0,0
25,2015-04-12T00:00:00Z,0,1,0,0
25,2015-04-19T00:00:00Z,0,1,0,0
25,2015-04-26T00:00:00Z,0,1,0,0
26,2014-08-10T00:00:00Z,0,0,0,0
26,2014-08-17T00:00:00Z,0,0,0,0
26,2014-08-24T00:00:00Z,0,0,0,0
26,2014-08-31T00:00:00Z,0,0,0,0
26,2014-09-07T00:00:00Z,0,0,0,0
26,2014-09-14T00:00:00Z,0,0,0,0
26,2014-09-21T00:00:00Z,0,0,0,0
26,2014-09-28T00:00:00Z,0,0,0,0
26,2014-10-05T00:00:00Z,0,0,0,0
26,2014-10-12T00:00:00Z,0,0,2,1
26,2014-10-19T00:00:00Z,0,1,3,3
26,2014-10-26T00:00:00Z,0,1,0,0
26,2014-11-02T00:00:00Z,0,1,0,0
26,2014-11-09T00:00:00Z,0,1,1,0
26,2014-11-16T00:00:00Z,0,1,0,0
26,2014-11-23T00:00:00Z,0,1,0,0
26,2014-11-30T00:00:00Z,0,1,1,0
26,2014-12-07T00:00:00Z,0,1,1,0
26,2014-12-14T00:00:00Z,0,1,0,0
26,2014-12-21T00:00:00Z,0,1,0,0
26,2014-12-28T00:00:00Z,0,1,3,0
26,2015-01-04T00:00:00Z,0,1,2,0
26,2015-01-11T00:00:00Z,0,1,1,0
26,2015-01-18T00:00:00Z,0,1,2,0
26,2015-01-25T00:00:00Z,0,1,1,0
26,2015-02-01T00:00:00Z,0,1,1,0
26,2015-02-08T00:00:00Z,0,1,3,0
26,2015-02-15T00:00:00Z,0,1,1,0
26,2015-02-22T00:00:00Z,0,1,1,0
26,2015-03-01T00:00:00Z,0,1,1,0
26,2015-03-08T00:00:00Z,0,1,0,0
26,2015-03-15T00:00:00Z,0,1,2,0
26,2015-03-22T00:00:00Z,0,1,3,0
26,2015-03-29T00:00:00Z,0,1,0,0
26,2015-04-05T00:00:00Z,0,1,2,0
26,2015-04-12T00:00:00Z,0,1,0,0
26,2015-04-19T00:00:00Z,0,1,0,0
26,2015-04-26T00:00:00Z,0,1,0,0
27,2014-08-10T00:00:00Z,0,0,0,0
27,2014-08-17T00:00:00Z,0,0,0,0
27,2014-08-24T00:00:00Z,0,0,0,0
27,2014-08-31T00:00:00Z,0,0,0,0
27,2014-09-07T00:00:00Z,0,0,0,0
27,2014-09-14T00:00:00Z,0,0,0,0
27,2014-09-21T00:00:00Z,0,0,0,0
27,2014-09-28T00:00:00Z,0,0,0,0
27,2014-10-05T00:00:00Z,0,0,0,0
27,2014-10-12T00:00:00Z,0,0,0,0
27,2014-10-19T00:00:00Z,0,1,0,0
27,2014-10-26T00:00:00Z,0,1,0,0
27,2014-11-02T00:00:00Z,0,1,0,0
27,2014-11-09T00:00:00Z,0,1,0,0
27,2014-11-16T00:00:00Z,0,1,0,0
27,2014-11-23T00:00:00Z,0,1,0,0
27,2014-11-30T00:00:00Z,0,1,0,0
27,2014-12-07T00:00:00Z,0,1,0,0
27,2014-12-14T00:00:00Z,0,1,0,0
27,2014-12-21T00:00:00Z,0,1,0,0
27,2014-12-28T00:00:00Z,0,1,0,0
27,2015-01-04T00:00:00Z,0,1,0,0
27,2015-01-11T00:00:00Z,0,1,0,0
27,2015-01-18T00:00:00Z,0,1,0,0
27,2015-01-25T00:00:00Z,0,1,0,0
27,2015-02-01T00:00:00Z,0,1,0,0
27,2015-02-08T00:00:00Z,0,1,0,0
27,2015-02-15T00:00:00Z,0,1,0,0
27,2015-02-22T00:00:00Z,0,1,0,0
27,2015-03-01T00:00:00Z,0,1,1,0
27,2015-03-08T00:00:00Z,0,1,0,0
27,2015-03-15T00:00:00Z,0,1,0,0
27,2015-03-22T00:00:00Z,0,1,0,0
27,2015-03-29T00:00:00Z,0,1,2,0
27,2015-04-05T00:00:00Z,0,1,0,0
27,2015-04-12T00:00:00Z,0,1,0,0
27,2015-04-19T00:00:00Z,0,1,0,0
27,2015-04-26T00:00:00Z,0,1,1,0
28,2014-08-10T00:00:00Z,0,0,0,0
28,2014-08-17T00:00:00Z,0,0,0,0
28,2014-08-24T00:00:00Z,0,0,0,0
28,2014-08-31T00:00:00Z,0,0,0,0
28,2014-09-07T00:00:00Z,0,0,0,0
28,2014-09-14T00:00:00Z,0,0,0,0
28,2014-09-21T00:00:00Z,0,0,0,0
28,2014-09-28T00:00:00Z,0,0,0,0
28,2014-10-05T00:00:00Z,0,0,0,0
28,2014-10-12T00:00:00Z,0,0,0,0
28,2014-10-19T00:00:00Z,0,1,0,0
28,2014-10-26T00:00:00Z,0,1,0,0
28,2014-11-02T00:00:00Z,0,1,0,0
28,2014-11-09T00:00:00Z,0,1,0,0
28,2014-11-16T00:00:00Z,0,1,0,0
28,2014-11-23T00:00:00Z,0,1,0,0
28,2014-11-30T00:00:00Z,0,1,0,0
28,2014-12-07T00:00:00Z,0,1,0,0
28,2014-12-14T00:00:00Z,0,1,0,0
28,2014-12-21T00:00:00Z,0,1,2,0
28,2014-12-28T00:00:00Z,0,1,0,0
28,2015-01-04T00:00:00Z,0,1,1,0
28,2015-01-11T00:00:00Z,0,1,0,0
28,2015-01-18T00:00:00Z,0,1,0,0
28,2015-01-25T00:00:00Z,0,1,4,0
28,2015-02-01T00:00:00Z,0,1,2,0
28,2015-02-08T00:00:00Z,0,1,2,0
28,2015-02-15T00:00:00Z,0,1,1,0
28,2015-02-22T00:00:00Z,0,1,0,0
28,2015-03-01T00:00:00Z,0,1,0,0
28,2015-03-08T00:00:00Z,0,1,2,0
28,2015-03-15T00:00:00Z,0,1,3,0
28,2015-03-22T00:00:00Z,0,1,0,0
28,2015-03-29T00:00:00Z,0,1,4,0
28,2015-04-05T00:00:00Z,0,1,0,0
28,2015-04-12T00:00:00Z,0,1,1,0
28,2015-04-19T00:00:00Z,0,1,1,0
28,2015-04-26T00:00:00Z,0,1,0,0
29,2014-08-10T00:00:00Z,0,0,0,0
29,2014-08-17T00:00:00Z,0,0,0,0
29,2014-08-24T00:00:00Z,0,0,0,0
29,2014-08-31T00:00:00Z,0,0,0,0
29,2014-09-07T00:00:00Z,0,0,0,0
29,2014-09-14T00:00:00Z,0,0,0,0
29,2014-09-21T00:00:00Z,0,0,0,0
29,2014-09-28T00:00:00Z,0,0,0,0
29,2014-10-05T00:00:00Z,0,0,0,0
29,2014-10-12T00:00:00Z,0,0,0,0
29,2014-10-19T00:00:00Z,0,1,0,0
29,2014-10-26T00:00:00Z,0,1,0,0
29,2014-11-02T00:00:00Z,0,1,0,0
29,2014-11-09T00:00:00Z,0,1,0,0
29,2014-11-16T00:00:00Z,0,1,0,0
29,2014-11-23T00:00:00Z,0,1,0,0
29,2014-11-30T00:00:00Z,0,1,0,0
29,2014-12-07T00:00:00Z,0,1,0,0
29,2014-12-14T00:00:00Z,0,1,0,0
29,2014-12-21T00:00:00Z,0,1,0,0
29,2014-12-28T00:00:00Z,0,1,0,0
29,2015-01-04T00:00:00Z,0,1,0,0
29,2015-01-11T00:00:00Z,0,1,0,0
29,2015-01-18T00:00:00Z,0,1,0,0
29,2015-01-25T00:00:00Z,0,1,0,0
29,2015-02-01T00:00:00Z,0,1,0,0
29,2015-02-08T00:00:00Z,0,1,0,0
29,2015-02-15T00:00:00Z,0,1,0,0
29,2015-02-22T00:00:00Z,0,1,0,0
29,2015-03-01T00:00:00Z,0,1,0,0
29,2015-03-08T00:00:00Z,0,1,0,0
29,2015-03-15T00:00:00Z,0,1,0,0
29,2015-03-22T00:00:00Z,0,1,0,0
29,2015-03-29T00:00:00Z,0,1,0,0
29,2015-04-05T00:00:00Z,0,1,0,0
29,2015-04-12T00:00:00Z,0,1,0,0
29,2015-04-19T00:00:00Z,0,1,0,0
29,2015-04-26T00:00:00Z,0,1,0,0
30,2014-08-10T00:00:00Z,0,0,0,0
30,2014-08-17T00:00:00Z,0,0,0,0
30,2014-08-24T00:00:00Z,0,0,0,0
30,2014-08-31T00:00:00Z,0,0,0,0
30,2014-09-07T00:00:00Z,0,0,0,0
30,2014-09-14T00:00:00Z,0,0,0,0
30,2014-09-21T00:00:00Z,0,0,0,0
30,2014-09-28T00:00:00Z,0,0,0,0
30,2014-10-05T00:00:00Z,0,0,0,0
30,2014-10-12T00:00:00Z,0,0,0,0
30,2014-10-19T00:00:00Z,0,1,0,0
